split,rel_path,abs_path,width,height,aspect_ratio
train,train/herbarium/106461/154078.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154078.jpg,698,1024,0.682
train,train/herbarium/106461/154212.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154212.jpg,683,1024,0.667
train,train/herbarium/106461/154089.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154089.jpg,698,1024,0.682
train,train/herbarium/106461/154331.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154331.jpg,683,1024,0.667
train,train/herbarium/106461/154084.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154084.jpg,698,1024,0.682
train,train/herbarium/106461/154253.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154253.jpg,683,1024,0.667
train,train/herbarium/106461/154199.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\106461\154199.jpg,683,1024,0.667
train,train/photo/12518/11502.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11502.jpg,1539,1024,1.503
train,train/photo/12518/11351.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11351.jpg,683,1024,0.667
train,train/photo/12518/11543.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11543.jpg,1536,1024,1.5
train,train/photo/12518/11476.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11476.jpg,1502,1024,1.467
train,train/photo/12518/11353.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11353.jpg,1536,1024,1.5
train,train/photo/12518/11540.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11540.jpg,1536,1024,1.5
train,train/photo/12518/11350.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11350.jpg,683,1024,0.667
train,train/photo/12518/11541.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11541.jpg,683,1024,0.667
train,train/photo/12518/11523.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11523.jpg,737,1024,0.72
train,train/photo/12518/11535.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11535.jpg,1536,1024,1.5
train,train/photo/12518/11533.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11533.jpg,1517,1024,1.481
train,train/photo/12518/11297.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11297.jpg,1365,1024,1.333
train,train/photo/12518/11542.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11542.jpg,1536,1024,1.5
train,train/photo/12518/11499.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11499.jpg,1539,1024,1.503
train,train/photo/12518/11530.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11530.jpg,1365,1024,1.333
train,train/photo/12518/11352.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11352.jpg,683,1024,0.667
train,train/photo/12518/11471.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12518\11471.jpg,775,1024,0.757
train,train/herbarium/12518/10673.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\10673.jpg,691,1024,0.675
train,train/herbarium/12518/10643.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\10643.jpg,683,1024,0.667
train,train/herbarium/12518/10655.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\10655.jpg,692,1024,0.676
train,train/herbarium/12518/11067.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11067.jpg,691,1024,0.675
train,train/herbarium/12518/11445.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11445.jpg,780,1024,0.762
train,train/herbarium/12518/11254.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11254.jpg,779,1024,0.761
train,train/herbarium/12518/11295.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11295.jpg,771,1024,0.753
train,train/herbarium/12518/10812.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\10812.jpg,655,1024,0.64
train,train/herbarium/12518/11426.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11426.jpg,782,1024,0.764
train,train/herbarium/12518/11388.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11388.jpg,779,1024,0.761
train,train/herbarium/12518/11126.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11126.jpg,667,1024,0.651
train,train/herbarium/12518/10993.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\10993.jpg,644,1024,0.629
train,train/herbarium/12518/11221.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11221.jpg,778,1024,0.76
train,train/herbarium/12518/10905.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\10905.jpg,681,1024,0.665
train,train/herbarium/12518/10971.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\10971.jpg,674,1024,0.658
train,train/herbarium/12518/10994.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\10994.jpg,657,1024,0.642
train,train/herbarium/12518/11302.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11302.jpg,782,1024,0.764
train,train/herbarium/12518/10641.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\10641.jpg,683,1024,0.667
train,train/herbarium/12518/11289.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11289.jpg,777,1024,0.759
train,train/herbarium/12518/11094.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11094.jpg,681,1024,0.665
train,train/herbarium/12518/11421.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11421.jpg,765,1024,0.747
train,train/herbarium/12518/11258.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\11258.jpg,785,1024,0.767
train,train/herbarium/12518/10726.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12518\10726.jpg,683,1024,0.667
train,train/photo/127151/265055.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265055.jpg,1024,653,1.568
train,train/photo/127151/265191.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265191.jpg,1550,1024,1.514
train,train/photo/127151/265192.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265192.jpg,1536,1024,1.5
train,train/photo/127151/995.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\995.jpg,1024,678,1.51
train,train/photo/127151/993.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\993.jpg,1024,684,1.497
train,train/photo/127151/265053.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265053.jpg,1024,828,1.237
train,train/photo/127151/265052.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265052.jpg,1024,964,1.062
train,train/photo/127151/265185.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265185.jpg,1365,1024,1.333
train,train/photo/127151/265193.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265193.jpg,1536,1024,1.5
train,train/photo/127151/265051.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265051.jpg,1024,768,1.333
train,train/photo/127151/265050.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265050.jpg,1024,768,1.333
train,train/photo/127151/265195.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265195.jpg,1536,1024,1.5
train,train/photo/127151/992.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\992.jpg,1024,671,1.526
train,train/photo/127151/265196.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265196.jpg,1365,1024,1.333
train,train/photo/127151/265176.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265176.jpg,1365,1024,1.333
train,train/photo/127151/994.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\994.jpg,1024,669,1.531
train,train/photo/127151/991.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\991.jpg,1024,676,1.515
train,train/photo/127151/265186.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265186.jpg,751,1024,0.733
train,train/photo/127151/265054.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265054.jpg,1024,784,1.306
train,train/photo/127151/265056.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265056.jpg,1024,755,1.356
train,train/photo/127151/265189.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\127151\265189.jpg,1518,1024,1.482
train,train/herbarium/127151/265351.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265351.jpg,659,1024,0.644
train,train/herbarium/127151/265534.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265534.jpg,773,1024,0.755
train,train/herbarium/127151/265380.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265380.jpg,783,1024,0.765
train,train/herbarium/127151/265093.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265093.jpg,698,1024,0.682
train,train/herbarium/127151/265390.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265390.jpg,779,1024,0.761
train,train/herbarium/127151/265439.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265439.jpg,787,1024,0.769
train,train/herbarium/127151/265228.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265228.jpg,665,1024,0.649
train,train/herbarium/127151/265349.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265349.jpg,669,1024,0.653
train,train/herbarium/127151/265310.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265310.jpg,657,1024,0.642
train,train/herbarium/127151/265242.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265242.jpg,659,1024,0.644
train,train/herbarium/127151/265412.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265412.jpg,683,1024,0.667
train,train/herbarium/127151/265149.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265149.jpg,698,1024,0.682
train,train/herbarium/127151/265101.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265101.jpg,698,1024,0.682
train,train/herbarium/127151/265291.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265291.jpg,667,1024,0.651
train,train/herbarium/127151/265132.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265132.jpg,698,1024,0.682
train,train/herbarium/127151/265560.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265560.jpg,777,1024,0.759
train,train/herbarium/127151/265455.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265455.jpg,782,1024,0.764
train,train/herbarium/127151/265107.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265107.jpg,683,1024,0.667
train,train/herbarium/127151/265548.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\127151\265548.jpg,785,1024,0.767
train,train/photo/12910/11778.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\11778.jpg,1536,1024,1.5
train,train/photo/12910/12472.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\12472.jpg,1536,1024,1.5
train,train/photo/12910/11795.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\11795.jpg,768,1024,0.75
train,train/photo/12910/11764.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\11764.jpg,1244,1024,1.215
train,train/photo/12910/12471.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\12471.jpg,1536,1024,1.5
train,train/photo/12910/12474.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\12474.jpg,1536,1024,1.5
train,train/photo/12910/11796.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\11796.jpg,1365,1024,1.333
train,train/photo/12910/11794.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\11794.jpg,1539,1024,1.503
train,train/photo/12910/11791.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\11791.jpg,1536,1024,1.5
train,train/photo/12910/11782.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\11782.jpg,683,1024,0.667
train,train/photo/12910/11789.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\11789.jpg,1536,1024,1.5
train,train/photo/12910/11784.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\11784.jpg,1536,1024,1.5
train,train/photo/12910/11790.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\11790.jpg,1536,1024,1.5
train,train/photo/12910/11786.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\11786.jpg,1536,1024,1.5
train,train/photo/12910/11783.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\11783.jpg,683,1024,0.667
train,train/photo/12910/11792.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12910\11792.jpg,1536,1024,1.5
train,train/herbarium/12910/12119.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\12119.jpg,769,1024,0.751
train,train/herbarium/12910/12454.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\12454.jpg,873,1024,0.853
train,train/herbarium/12910/11645.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\11645.jpg,692,1024,0.676
train,train/herbarium/12910/12257.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\12257.jpg,683,1024,0.667
train,train/herbarium/12910/12442.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\12442.jpg,782,1024,0.764
train,train/herbarium/12910/12223.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\12223.jpg,773,1024,0.755
train,train/herbarium/12910/11669.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\11669.jpg,692,1024,0.676
train,train/herbarium/12910/11587.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\11587.jpg,683,1024,0.667
train,train/herbarium/12910/11960.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\11960.jpg,675,1024,0.659
train,train/herbarium/12910/11709.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\11709.jpg,682,1024,0.666
train,train/herbarium/12910/11812.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\11812.jpg,660,1024,0.645
train,train/herbarium/12910/12425.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\12425.jpg,683,1024,0.667
train,train/herbarium/12910/11566.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\11566.jpg,683,1024,0.667
train,train/herbarium/12910/12283.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\12283.jpg,776,1024,0.758
train,train/herbarium/12910/12391.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\12391.jpg,781,1024,0.763
train,train/herbarium/12910/11824.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\11824.jpg,645,1024,0.63
train,train/herbarium/12910/12205.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\12205.jpg,777,1024,0.759
train,train/herbarium/12910/12339.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\12339.jpg,776,1024,0.758
train,train/herbarium/12910/11895.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\11895.jpg,645,1024,0.63
train,train/herbarium/12910/12428.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\12428.jpg,781,1024,0.763
train,train/herbarium/12910/12292.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\12292.jpg,769,1024,0.751
train,train/herbarium/12910/12207.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\12207.jpg,683,1024,0.667
train,train/herbarium/12910/12178.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\12178.jpg,769,1024,0.751
train,train/herbarium/12910/11931.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\herbarium\12910\11931.jpg,657,1024,0.642
train,train/photo/12922/13354.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12922\13354.jpg,1365,1024,1.333
train,train/photo/12922/13350.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12922\13350.jpg,1365,1024,1.333
train,train/photo/12922/13352.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12922\13352.jpg,1365,1024,1.333
train,train/photo/12922/13347.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12922\13347.jpg,1365,1024,1.333
train,train/photo/12922/13335.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12922\13335.jpg,681,1024,0.665
train,train/photo/12922/13339.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12922\13339.jpg,1365,1024,1.333
train,train/photo/12922/13364.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12922\13364.jpg,1536,1024,1.5
train,train/photo/12922/13353.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12922\13353.jpg,1365,1024,1.333
train,train/photo/12922/13338.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12922\13338.jpg,1365,1024,1.333
train,train/photo/12922/13355.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12922\13355.jpg,1365,1024,1.333
train,train/photo/12922/13343.jpg,D:\AML\AML dataset\Herbarium_Field dataset\AML_project_herbarium_dataset\train\photo\12922\13343.jpg,1365,1024,1.333
