label_idx,species_name,n_field,n_herbarium,total,has_pair
78,Caesalpinia pulcherrima (L.) Sw.,13.0,27.0,40.0,True
79,Cajanus cajan (L.) Millsp.,5.0,35.0,40.0,True
80,Crotalaria retusa L.,0.0,20.0,20.0,False
81,Erythrina fusca Lour.,14.0,26.0,40.0,True
82,Inga alba (Sw.) Willd.,0.0,20.0,20.0,False
83,Inga capitata Desv.,18.0,22.0,40.0,True
84,Inga edulis Mart.,20.0,20.0,40.0,True
85,Mimosa pigra L.,0.0,25.0,25.0,False
86,Mimosa pudica L.,20.0,20.0,40.0,True
87,Punica granatum L.,16.0,24.0,40.0,True
88,Adansonia digitata L.,17.0,23.0,40.0,True
89,Ceiba pentandra (L.) Gaertn.,14.0,26.0,40.0,True
90,Hibiscus rosa-sinensis L.,19.0,21.0,40.0,True
91,Psidium guineense Sw.,14.0,26.0,40.0,True
92,Nephrolepis biserrata (Sw.) Schott,22.0,18.0,40.0,True
93,Averrhoa carambola L.,20.0,20.0,40.0,True
94,Turnera ulmifolia L.,19.0,21.0,40.0,True
95,Piper peltatum L.,19.0,21.0,40.0,True
96,Eichhornia crassipes (Mart.) Solms,17.0,23.0,40.0,True
97,Ceratopteris thalictroides (L.) Brongn.,17.0,23.0,40.0,True
98,Pityrogramma calomelanos (L.) Link,20.0,20.0,40.0,True
99,Cassipourea guianensis Aubl.,14.0,26.0,40.0,True
